UserID,WindowID,Split,JobTitle
13,6,Test,Pennsylvania Mentor
13,6,Test,Student Worker
13,6,Test,Internship in Adoption Unit
13,6,Test,Student Worker - Continuing Education
13,6,Test,Sales Associate
64,6,Train,Practice Manager
64,6,Train,Medical Manager
101,6,Train,Computer Service Technician
133,6,Train,Behavior Care Specialist
133,6,Train,Student Advisor
133,6,Train,Behavior Care Specialist Supervisor
133,6,Train,Interventionist
133,6,Train,Counselor
182,6,Train,Plane Captain on AH-1W
182,6,Train,Sales Representative
182,6,Train,Sales Representative and Technician
350,6,Train,Warehouse Associate
379,6,Train,Lead Logistic/Financial  Budget Analyst
379,6,Train,Lead Logistic Specialist /Financial Budget Analyst
379,6,Train,Consultant/Integrated Logistics Support Program Manager
379,6,Train,Lead Logistics Management Specialist
379,6,Train,Fleet Financial Consultant and Accountant Technician
379,6,Train,Lead Logistics/Financial Analyst
379,6,Train,(IMRL)Manager
379,6,Train,Aviation Supply Clerk
379,6,Train,Material Control Financial Clerk
580,6,Train,Camp Counselor
580,6,Train,Construction Worker
732,6,Train,Principal Consultant
732,6,Train,Policy and Procedure Coordinator
732,6,Train,Community Development Coordinator
732,6,Train,Business Service Representative
774,6,Train,Commercial Insurance Producer
774,6,Train,Broker
774,6,Train,Sales Associate
794,6,Train,District Manager
794,6,Train,Distribution and Sales Representatives
794,6,Train,Assistant Manager
907,6,Train,Real Estate Salesperson
907,6,Train,Tutor
907,6,Train,MOSAIC Intern
907,6,Train,Production Support
907,6,Train,Shipping & Receiving Clerk
907,6,Train,CORAL After School Instructor
907,6,Train,Unit Supply Sergeant E - 5
944,6,Train,General Manager
944,6,Train,In Charge of counting Weekly Inventory
956,6,Train,Mathematics Instructor
956,6,Train,Teachers' Workshop Instructor
956,6,Train,Student Teaching
1037,6,Train,Export Sale and General Manager
1037,6,Train,Sales Agent - Group/Corporate/Promotional Ticketing
1066,6,Test,Call Center Representative
1066,6,Test,Telephone Sales Representative
1075,6,Train,Assistant sewer monitor tech for the city
1075,6,Train,Office Clerk
1075,6,Train,teacher
1075,6,Train,Cashier
1085,6,Train,Teller
1085,6,Train,Onsite Supervisor
1085,6,Train,Office Manager
1085,6,Train,Customer Service Representative
1085,6,Train,Human Resources /Administrative Assistant
1085,6,Train,Administrative Assistant
1085,6,Train,Bank Teller & Customer Service Rep
1107,6,Train,Customer Service/Sales
1107,6,Train,Administrative Assistant
1107,6,Train,Server/Cashier
1107,6,Train,Customer Service/Cashier
1130,6,Train,Barista / Assistant Manager
1130,6,Train,Hostess
1130,6,Train,Barista
1139,6,Train,Lead Automotive Installation Technician
1139,6,Train,Installation Technician (full-time)
1139,6,Train,Installation Technician (part-time)
1141,6,Train,Executive Vice President
1141,6,Train,Vice President/General Manager
1141,6,Train,Director of Operations
1141,6,Train,New England Region General Manager
1141,6,Train,Regional Director
1141,6,Train,Senior Operations/Sales Manager
1141,6,Train,General Manager
1283,6,Train,Legal Intern and Receptionist
1283,6,Train,Instructor
1283,6,Train,Administrative Assistant
1283,6,Train,Colony Secretary
1283,6,Train,Colony Treasurer
1283,6,Train,Intern
1414,6,Train,Sales / Team Leader
1414,6,Train,Senior Design Project
1425,6,Train,Sales
1425,6,Train,Hospitality Supervisor
1430,6,Train,Sales & Marketing Manager
1430,6,Train,Director of Marketing / Sales Representative
1430,6,Train,Marketing Assistant
1533,6,Train,Pro Cashier
1533,6,Train,Dispatcher/Customer Service
1533,6,Train,Technician Dispatcher
1533,6,Train,LTL Dispatcher
1533,6,Train,Dispatcher/Data Entry
1533,6,Train,Receptionist
1574,6,Train,Mechanical Technician II & III
1574,6,Train,Construction Assistant
1574,6,Train,Crew Leader
1574,6,Train,"Owner, Realistic Remodeling"
1574,6,Train,Building Maintenance Manager
1648,6,Train,QC Inspector
1648,6,Train,UNDERWRITER
1648,6,Train,LEGAL DOCUMENT PROCESSOR
1648,6,Train,QUALITY CONTROL INSPECTOR
1675,6,Train,Location General Manager
1675,6,Train,Sales Development Manager
1675,6,Train,Project Manager/ Subject Matter Expert - Special Projects
1675,6,Train,Location General Manager/ Dual Store General Manager
1675,6,Train,Director of Stores
1708,6,Train,Institutional GLP Compliance Coordinator
1708,6,Train,Quality Assurance Auditor II
1708,6,Train,Quality Assurance Specialist
1708,6,Train,Senior Quality Assurance Specialist
1708,6,Train,Quality Assurance Manager
1708,6,Train,Quality Control Coordinator
1708,6,Train,Director of Metrology
1708,6,Train,Service Manager / Regulatory Affairs Assoc
1759,6,Train,Estimator/Service
1759,6,Train,Driver
1759,6,Train,installer
1832,6,Train,Accounts Manager
1832,6,Train,Assistant Manager
1832,6,Train,Patient Care Technician
1921,6,Train,Medical Assistant
1940,6,Train,Sales Associate
1940,6,Train,Substitute Teacher / Teachers Assistant
