UserID,JobID,label,City,State
13,821691,1,0,1
13,921307,0,0,0
64,666073,1,1,1
64,281940,1,0,0
64,337025,1,1,1
64,859637,0,0,0
64,296722,0,1,1
64,469018,0,0,0
101,949251,1,0,1
101,1047727,0,0,0
133,17494,1,0,1
133,661510,0,0,0
182,1098447,1,0,0
182,428902,1,0,0
182,816939,0,0,0
182,781054,0,0,1
350,450025,1,0,0
350,151834,1,0,1
350,905549,1,0,0
350,590247,1,1,1
350,729734,0,1,1
350,795643,0,0,0
350,33817,0,0,0
350,426289,0,0,1
379,1055621,1,0,0
379,732097,0,0,1
580,196260,1,0,1
580,56774,1,0,0
580,909649,0,0,0
580,181904,0,0,0
732,159935,1,0,1
732,931135,0,0,0
774,920132,1,0,1
774,100328,1,0,0
774,1091024,0,0,1
774,137677,0,0,0
794,806942,1,0,1
794,823411,0,0,0
907,962157,1,0,0
907,596838,0,0,1
944,830502,1,1,1
944,897256,0,0,0
956,920436,1,0,0
956,524889,0,0,1
1037,569557,1,0,0
1037,939154,1,0,0
1037,133417,0,0,1
1037,9612,0,0,1
1066,709999,1,0,0
1066,1096020,1,1,1
1066,700868,1,0,1
1066,727180,0,0,0
1066,757295,0,0,0
1066,308412,0,0,1
1075,381814,1,1,1
1075,994227,1,0,0
1075,709282,0,1,1
1075,1072741,0,0,0
1085,275935,1,0,1
1085,951502,1,0,0
1085,498226,0,0,0
1085,570733,0,0,1
1107,1056810,1,0,0
1107,1029159,1,0,0
1107,1112793,1,0,0
1107,705147,0,0,1
1107,670754,0,0,1
1107,664608,0,0,1
1130,784228,1,0,0
1130,438034,0,0,1
1139,918877,1,0,0
1139,186289,0,0,0
1141,341155,1,0,0
1141,95651,0,0,0
1283,824258,1,0,0
1283,674317,1,0,1
1283,321990,0,0,0
1283,743096,0,0,1
1414,224949,1,0,0
1414,1015558,0,0,0
1425,892116,1,1,1
1425,1045135,0,0,0
1430,625515,1,0,0
1430,220488,1,0,0
1430,5634,0,0,1
1430,896674,0,0,0
1533,759457,1,0,1
1533,194930,1,0,1
1533,62233,1,0,1
1533,794983,1,0,0
1533,992811,0,0,1
1533,1027882,0,0,0
1533,782079,0,0,0
1533,1047759,0,0,0
1574,345731,1,0,0
1574,130217,1,0,0
1574,1000100,1,0,0
1574,928052,1,0,0
1574,436583,0,0,0
1574,572673,0,0,0
1574,523773,0,0,0
1574,1059864,0,0,0
1648,410802,1,1,1
1648,165092,1,0,1
1648,522479,0,0,0
1648,991717,0,0,0
1675,697722,1,0,1
1675,973169,0,0,0
1708,268154,1,0,0
1708,460366,0,0,0
1759,155353,1,0,0
1759,316614,1,0,1
1759,84498,0,0,0
1759,198701,0,0,1
1832,695807,1,0,0
1832,523945,0,0,1
1921,930945,1,0,0
1921,267406,0,0,1
1940,1075748,1,0,0
1940,559963,0,0,0
2089,22344,1,0,1
2089,506607,0,0,0
2187,493447,1,1,1
2187,540524,0,0,0
2195,599982,1,0,0
2195,1054302,1,0,0
2195,77189,0,0,1
2195,328967,0,0,1
2287,862876,1,0,0
2287,182321,0,0,1
2364,282827,1,0,1
2364,187496,1,0,1
2364,317882,0,0,0
2364,387054,0,0,0
2448,924819,1,0,0
2448,407104,0,0,1
2626,251584,1,0,1
2626,576315,0,0,0
2822,385911,1,0,0
2822,183860,0,0,1
3096,200635,1,0,1
3096,831484,1,0,0
3096,653291,0,0,1
3096,844887,0,0,0
3109,859884,1,0,0
3109,396096,1,0,0
3109,395735,0,1,1
3109,288855,0,1,1
3156,799902,1,0,0
3156,747007,0,0,1
3247,808920,1,0,0
3247,1081928,1,0,0
3247,448583,0,0,0
3247,840603,0,0,0
3446,400908,1,0,0
3446,745992,0,0,0
3480,925130,1,0,0
3480,997576,1,0,0
3480,512733,1,0,1
3480,600219,0,0,0
3480,213781,0,1,1
3480,394301,0,0,1
3531,150520,1,0,0
3531,43293,0,1,1
3572,533129,1,1,1
3572,993284,0,0,0
3671,695219,1,0,0
3671,1104314,1,0,1
3671,994147,0,0,0
3671,52168,0,0,1
3795,942778,1,0,0
3795,439202,0,1,1
3832,693159,1,0,0
3832,305206,0,0,0
3859,200635,1,0,1
3859,639898,0,0,0
3885,772343,1,0,0
3885,928152,1,0,0
3885,748450,0,0,1
3885,650357,0,0,1
3998,403197,1,0,1
3998,62746,1,0,1
3998,877034,0,0,0
3998,537842,0,0,0
4043,821691,1,0,0
4043,548533,1,0,0
4043,521624,1,0,1
4043,325065,0,0,1
4043,838576,0,0,1
4043,74309,0,0,0
4089,509781,1,0,0
4089,276705,1,0,1
4089,502154,0,0,0
4089,98194,0,0,1
4109,10264,1,0,0
4109,327524,1,0,1
4109,699955,1,0,0
4109,1707,0,0,1
4109,76706,0,0,1
4109,874203,0,0,0
4130,282549,1,0,0
4130,1027257,1,1,1
4130,572036,1,0,0
4130,1046261,0,1,1
4130,211429,0,1,1
4130,437568,0,0,0
4345,179002,1,0,0
4345,356821,1,0,1
4345,102818,0,0,1
4345,665870,0,0,0
4457,91828,1,0,1
4457,382562,1,0,1
4457,1074242,0,0,0
4457,684383,0,0,0
4459,881346,1,0,0
4459,427944,0,0,1
4466,30632,1,0,1
4466,212897,1,0,1
4466,748140,1,0,0
4466,848103,0,0,1
